2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708299]= ActionBean [actionType=Event, actionName=LoginOK:gasparin227, actionNode=LoginOK, contextUserAnonId=3FhcC, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:58:06.1, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=LoginOK, customDimensionsSecondParameter=gasparin227, customDimensionsDescription=LoginOK]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708300]= ActionBean [actionType=Event, actionName=OpenSportMenu:HomePage, actionNode=Go to: OpenSportMenu, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:58:10.873, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=OpenSportMenu, customDimensionsSecondParameter=HomePage, customDimensionsDescription=Despliegue menu usuario]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708301]= ActionBean [actionType=Event, actionName=AccessOnlineDeposits:Icon, actionNode=Go to: AccessOnlineDeposits, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:58:12.983, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=AccessOnlineDeposits, customDimensionsSecondParameter=Icon, customDimensionsDescription=Acceder depositos Online]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708302]= ActionBean [actionType=Event, actionName=DepositOnline, actionNode=DepositOnline, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:58:18.663, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=DepositOnline, customDimensionsSecondParameter=, customDimensionsDescription=Acceso pasarela pago tarjeta (300)]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708303]= ActionBean [actionType=Event, actionName=OpenSportMenu:HomePage, actionNode=Go to: OpenSportMenu, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:59:31.183, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=OpenSportMenu, customDimensionsSecondParameter=HomePage, customDimensionsDescription=Despliegue menu usuario]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708304]= ActionBean [actionType=Event, actionName=AccessOnlineDeposits:Icon, actionNode=Go to: AccessOnlineDeposits, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:59:32.773, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=AccessOnlineDeposits, customDimensionsSecondParameter=Icon, customDimensionsDescription=Acceder depositos Online]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708305]= ActionBean [actionType=Event, actionName=DepositOnline, actionNode=DepositOnline, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:59:39.17, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=DepositOnline, customDimensionsSecondParameter=, customDimensionsDescription=Acceso pasarela pago tarjeta (200)]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708306]= ActionBean [actionType=Event, actionName=OpenSportMenu:HomePage, actionNode=Go to: OpenSportMenu, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 10:01:03.987, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=OpenSportMenu, customDimensionsSecondParameter=HomePage, customDimensionsDescription=Despliegue menu usuario]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708307]= ActionBean [actionType=Event, actionName=AccessOnlineDeposits:Icon, actionNode=Go to: AccessOnlineDeposits, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 10:01:05.587, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=AccessOnlineDeposits, customDimensionsSecondParameter=Icon, customDimensionsDescription=Acceder depositos Online]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708308]= ActionBean [actionType=Event, actionName=DepositOnline, actionNode=DepositOnline, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 10:01:11.663, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=DepositOnline, customDimensionsSecondParameter=, customDimensionsDescription=Acceso pasarela pago tarjeta (160)]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708309]= ActionBean [actionType=Event, actionName=OpenSportMenu:HomePage, actionNode=Go to: OpenSportMenu, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 10:04:09.283, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=OpenSportMenu, customDimensionsSecondParameter=HomePage, customDimensionsDescription=Despliegue menu usuario]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708310]= ActionBean [actionType=Event, actionName=AccessOnlineDeposits:Icon, actionNode=Go to: AccessOnlineDeposits, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 10:04:10.527, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=AccessOnlineDeposits, customDimensionsSecondParameter=Icon, customDimensionsDescription=Acceder depositos Online]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708311]= ActionBean [actionType=Event, actionName=DepositOnline, actionNode=DepositOnline, contextUserAnonId=3FhcC, contextUserAuthId=gasparin227, contextUserIsAuthenticated=true, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 10:04:21.19, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=DepositOnline, customDimensionsSecondParameter=, customDimensionsDescription=Acceso pasarela pago tarjeta (200)]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708312]= ActionBean [actionType=Event, actionName=RefreshBalance, actionNode=RefreshBalance, contextUserAnonId=M1fTm, contextUserAuthId=josepepe29, contextUserIsAuthenticated=true, contextSessionId=zZavl, contextSessionIsFirst=false, viewUrl=null, contextDataEventTime=2017-02-23 19:51:25.637, sliceDataTime=2017-02-23 19:00:00.0, contextOperationId=rFenz, contextOperationParentId=rFenz, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=RefreshBalance, customDimensionsSecondParameter=, customDimensionsDescription=Refrescar saldo]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708313]= ActionBean [actionType=Event, actionName=attemptLogin:josepepe29, actionNode=attemptLogin, contextUserAnonId=M1fTm, contextUserAuthId=josepepe29, contextUserIsAuthenticated=true, contextSessionId=zZavl, contextSessionIsFirst=false, viewUrl=null, contextDataEventTime=2017-02-23 19:51:36.677, sliceDataTime=2017-02-23 19:00:00.0, contextOperationId=rFenz, contextOperationParentId=rFenz, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=attemptLogin, customDimensionsSecondParameter=josepepe29, customDimensionsDescription=attemptLogin]
